City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
92,Vanimo,PG,77.32,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
93,Atuona,PF,78.75,clear sky,-9.8,-139.0333,Villa Enata
95,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
101,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
102,Antalaha,MG,76.8,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
107,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
111,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
114,Hithadhoo,MV,82.47,scattered clouds,-0.6,73.0833,Scoop Guest House
118,Faanui,PF,81.23,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Ancud,CL,77.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
125,Kirakira,SB,80.85,overcast clouds,-10.4544,161.9205,SanBiz Lodge
126,Caravelas,BR,83.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
127,Kieta,PG,79.36,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
132,Chake Chake,TZ,79.56,overcast clouds,-5.2459,39.7666,Hotel Archipelago
134,Domoni,KM,80.73,overcast clouds,-12.2569,44.5319,Al Djadid
154,Quatre Cocos,MU,79.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
156,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
158,Santo Tomas,PH,77.25,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
161,Mana,GF,81.79,overcast clouds,5.6592,-53.7767,LE SAMANA
162,Namibe,AO,75.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
166,Puerto Colombia,CO,89.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
170,Cabedelo,BR,86.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
179,Sambava,MG,76.15,broken clouds,-14.2667,50.1667,Melrose
180,Bougouni,ML,83.46,clear sky,11.417,-7.479,Non Stop
182,Labuhan,ID,77.94,overcast clouds,-6.8844,112.2051,DoubleFAG
191,Santa Leopoldina,BR,85.62,clear sky,-20.1006,-40.5297,Pousada e padaria central
195,Olmos,PE,89.29,overcast clouds,-5.9847,-79.7453,Hospedaje El Olmo
197,Bembereke,BJ,81.84,clear sky,10.2283,2.6634,Hotel Bio Guera
200,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
202,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
204,Kavaratti,IN,78.3,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
220,Cidreira,BR,81.25,clear sky,-30.1811,-50.2056,Hotel Castelo
221,Chuy,UY,75.27,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
223,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
224,Sinnamary,GF,81.88,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
226,Galle,LK,77.58,overcast clouds,6.0367,80.217,Amangalla
229,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
230,Karratha,AU,83.79,clear sky,-20.7377,116.8463,ibis Styles Karratha
231,Cardenas,CU,81.36,clear sky,23.0375,-81.2047,Casa JF 1906
237,Huarmey,PE,75.54,few clouds,-10.0681,-78.1522,Hotel Miramar
251,San Matias,BO,83.5,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
252,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
253,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
258,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
260,Garissa,KE,89.24,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
265,Kroya,ID,80.19,light rain,-7.6331,109.2461,RUSTANTO Fam
268,Gigmoto,PH,77.34,overcast clouds,13.7796,124.39,Cj's Travellers Inn
269,Tecoanapa,MX,83.93,overcast clouds,16.5167,-98.75,Hotel Manglares
272,Manaure,CO,84.31,few clouds,11.7751,-72.4445,Hotel Palaaima
273,Cayenne,GF,82.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
276,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
277,Paita,PE,84.76,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
286,Kerema,PG,77.18,overcast clouds,-7.9631,145.7785,Frena Lodge
301,Akwatia,GH,81.1,light rain,6.0402,-0.8088,Baffour Guest House
302,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
305,Saint-Leu,RE,77.86,overcast clouds,-21.15,55.2833,La Caz Oceane
308,Obidos,BR,83.62,moderate rain,-1.9175,-55.5181,Hotel Amazônia Center
315,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
326,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
327,Upata,VE,82.62,broken clouds,8.0086,-62.3989,Posada Villa Nela
331,Ambilobe,MG,75.56,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
332,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
336,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
337,Cordoba,AR,82.76,few clouds,-31.4135,-64.1811,Hotel Sussex
341,Iuna,BR,75.04,scattered clouds,-20.3458,-41.5358,Hotel São Judas Tadeu
